                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.49903,                0.38071,                0.93879,                0.84604,                0.93594,                0.93827,                0.77878,                0.74025,                0.50485,                 1.0991,             0.00035208,             0.00035208,             0.00035208
                     72,                0.53471,                0.39992,                0.95592,                0.90777,                0.88035,                 0.9326,                0.78543,                0.73845,                0.53647,                 1.0871,             0.00034108,             0.00034108,             0.00034108
                     73,                0.53257,                0.38278,                0.95363,                0.90139,                0.88652,                0.91016,                0.75889,                0.76428,                0.56098,                 1.1064,             0.00033008,             0.00033008,             0.00033008
                     74,                0.50303,                0.37289,                0.94502,                0.90245,                0.87221,                0.91491,                0.76514,                0.72428,                0.55034,                 1.0936,             0.00031908,             0.00031908,             0.00031908
                     75,                0.49886,                0.36649,                0.93459,                 0.8926,                0.87153,                0.92508,                0.78231,                0.69028,                0.57894,                 1.0562,             0.00030808,             0.00030808,             0.00030808
                     76,                0.50522,                0.39462,                 0.9526,                0.87053,                0.92333,                0.94434,                 0.7866,                0.69705,                0.52093,                 1.0455,             0.00029708,             0.00029708,             0.00029708
                     77,                0.49777,                0.36406,                0.93798,                0.88556,                0.91806,                0.94703,                0.79254,                0.69247,                0.49934,                 1.0387,             0.00028608,             0.00028608,             0.00028608
                     78,                0.48093,                0.37435,                0.94162,                0.89144,                 0.9052,                0.94478,                0.80639,                0.69811,                0.50692,                 1.0526,             0.00027508,             0.00027508,             0.00027508
                     79,                0.48848,                0.35259,                0.94554,                0.87242,                0.91975,                0.94062,                0.79882,                0.67329,                 0.5361,                 1.0245,             0.00026408,             0.00026408,             0.00026408
                     80,                0.48481,                0.36342,                0.94249,                0.86832,                0.89501,                0.92383,                0.75737,                0.71616,                0.52965,                 1.0915,             0.00025309,             0.00025309,             0.00025309
                     81,                0.47598,                0.36255,                 0.9246,                0.86522,                0.92522,                0.93795,                0.76515,                0.70427,                0.46682,                 1.0959,             0.00024209,             0.00024209,             0.00024209
                     82,                0.48957,                0.36015,                0.95263,                 0.8676,                0.94472,                0.95922,                0.79989,                0.70768,                0.44054,                 1.0808,             0.00023109,             0.00023109,             0.00023109
                     83,                0.47766,                0.36447,                0.93954,                0.90323,                0.90961,                0.94484,                0.77619,                0.69463,                0.48405,                 1.0429,             0.00022009,             0.00022009,             0.00022009
                     84,                0.48672,                0.34967,                 0.9474,                0.89569,                0.87073,                0.92099,                0.76402,                0.67866,                0.50507,                 1.0243,             0.00020909,             0.00020909,             0.00020909
                     85,                0.49395,                0.36148,                0.93683,                0.84711,                0.89666,                0.92351,                0.77738,                0.67847,                0.50588,                 1.0489,             0.00019809,             0.00019809,             0.00019809
                     86,                0.47062,                0.34254,                0.93374,                0.84607,                 0.9291,                0.91805,                0.76485,                 0.7337,                0.53742,                 1.0984,             0.00018709,             0.00018709,             0.00018709
                     87,                0.43154,                0.32094,                0.91173,                0.86359,                0.91444,                0.93486,                0.77552,                0.71988,                0.53108,                 1.0951,             0.00017609,             0.00017609,             0.00017609
